Hora de comienzo,Duración,Tipo,ID,FrecuenciaMHz,Ubicación de inicio,Última posición,Sensor,lat_inicio,lon_inicio,azimut_inicio,distancia_inicio_m,lat_ultima,lon_ultima,azimut_ultima,distancia_ultima_m,fecha,hora,repeticiones_id,id_repetido,mapeable
29-04-2026 11:56,0:02:21,DJI Matrice4D,1581F8HGX254B00A08AW_DJI Matrice4D,5756,"-70.71742, -33.51910 | 185°, 37m","-70.71742, -33.51910 | 185°, 37m",100,-33.5191,-70.71742,185.0,37.0,-33.5191,-70.71742,185.0,37.0,2026-04-29,11:56,2,SI,SI
29-04-2026 11:55,0:00:30,DJI Mavic(O4),60601f0812b1_DJI Mavic(O4),2444,,,100,,,,,,,,,2026-04-29,11:55,1,NO,NO
29-04-2026 11:38,0:17:28,DJI Matrice4D,1581F8HGX254B00A08AW_DJI Matrice4D,5776,"-70.71742, -33.51910 | 265°, 948m","-70.71681, -33.51740 | 16°, 101m",100,-33.5191,-70.71742,265.0,948.0,-33.5174,-70.71681,16.0,101.0,2026-04-29,11:38,2,SI,SI
29-04-2026 11:32,0:00:30,DJI Mavic(O4),60601f08cbaa_DJI Mavic(O4),2444,,,100,,,,,,,,,2026-04-29,11:32,1,NO,NO
29-04-2026 10:45,0:03:57,DJI Mavic(O4),60601f082107_DJI Mavic(O4),2444,,,100,,,,,,,,,2026-04-29,10:45,1,NO,NO
29-04-2026 10:46,0:01:05,DJI Mavic(O4),60601f08cebf_DJI Mavic(O4),2444,,,100,,,,,,,,,2026-04-29,10:46,1,NO,NO
29-04-2026 9:12,0:00:30,FIMI Telemax/X8Pro,1986496610_FIMI Telemax/X8Pro,2376,,,100,,,,,,,,,2026-04-29,09:12,6,SI,NO
29-04-2026 8:44,0:00:30,FIMI Telemax/X8Pro,1986496610_FIMI Telemax/X8Pro,2376,,,100,,,,,,,,,2026-04-29,08:44,6,SI,NO
24-04-2026 10:07,0:00:29,FIMI Telemax/X8Pro,1986496610_FIMI Telemax/X8Pro,2376,,,100,,,,,,,,,2026-04-24,10:07,6,SI,NO
24-04-2026 9:39,0:00:30,FIMI Telemax/X8Pro,1986496610_FIMI Telemax/X8Pro,2376,,,100,,,,,,,,,2026-04-24,09:39,6,SI,NO
20-03-2026 11:39,0:00:29,DJI Mini2,3NZCH9Q0032VHC_DJI Mini2,2444,"-70.62825, -33.45789 | 285°, 1246m","-70.62825, -33.45789 | 285°, 1246m",100,-33.45789,-70.62825,285.0,1246.0,-33.45789,-70.62825,285.0,1246.0,2026-03-20,11:39,1,NO,SI
03-10-2025 8:59,0:09:57,DJI Neo,1581F87LB24B100207MG_DJI Neo,5776,"-70.61836, -33.39182 | 273°, 184m","-70.61831, -33.39181 | 29°, 0m",100,-33.39182,-70.61836,273.0,184.0,-33.39181,-70.61831,29.0,0.0,2025-10-03,08:59,1,NO,SI
29-09-2025 12:16,0:01:21,ARGUS Mini_one,4280e143b261_ARGUS Mini_one,5825,,,100,,,,,,,,,2025-09-29,12:16,8,SI,NO
29-09-2025 12:14,0:00:29,ARGUS Mini_one,4280e143b261_ARGUS Mini_one,5825,,,100,,,,,,,,,2025-09-29,12:14,8,SI,NO
29-09-2025 12:03,0:00:30,ARGUS Mini_one,4280e143b261_ARGUS Mini_one,5825,,,100,,,,,,,,,2025-09-29,12:03,8,SI,NO
29-09-2025 12:00,0:01:48,ARGUS Mini_one,4280e143b261_ARGUS Mini_one,5825,,,100,,,,,,,,,2025-09-29,12:00,8,SI,NO
29-09-2025 11:51,0:07:29,ARGUS Mini_one,4280e143b261_ARGUS Mini_one,5825,,,100,,,,,,,,,2025-09-29,11:51,8,SI,NO
29-09-2025 11:44,0:00:29,ARGUS Mini_one,4280e143b261_ARGUS Mini_one,5825,,,100,,,,,,,,,2025-09-29,11:44,8,SI,NO
